move_type,d_0,d_1,d_2,d_3,d_4,d_5,d_6,d_7,d_8,d_9,d_10,d_11,d_12,d_13,d_14,d_15,d_16,d_17,d_18,d_19,d_20,d_21,d_22,d_23,d_24,d_25,d_-25,d_-24,d_-23,d_-22,d_-21,d_-20,d_-19,d_-18,d_-17,d_-16,d_-15,d_-14,d_-13,d_-12,d_-11,d_-10,d_-9,d_-8,d_-7,d_-6,d_-5,d_-4,d_-3,d_-2,d_-1
GO,2.38389181302242e-16,1.0,0.32391161712177396,0.18495031021010627,0.05833078061815935,0.07795974921930482,0.1186583311569111,0.07053959671783358,0.07522036732817966,0.034666444185898974,0.030312547882660492,0.015227013469003738,0.05344940718836645,0.0316027603746684,0.014356748133201681,0.019932209572264725,0.014357274987384806,0.014569911565628814,0.012153846628143403,0.029453753877242334,0.011911276901359333,0.011115449943271774,0.004320905194712443,0.005250250617205622,0.011274292409190595,0.009575261108348254,0.006254630215342564,0.006436032013736578,0.003391879367308141,0.008570371162642025,0.008614409852709365,0.012864358647611662,0.013482082003858625,0.006962597821736706,0.016901556793462266,0.008890321730699693,0.007432989181624632,0.011185226851106527,0.01651915092530404,0.0445057098396424,0.029217206236040495,0.026994239650999317,0.016853928547828505,0.06044288594617657,0.10614058032796282,0.07266877167044677,0.07155551391999612,0.1642963267067079,0.09891078984606184,0.05338840699920712,0.10783810100812057
GO,2.067745774830752e-16,1.0,0.33750337516468576,0.14479152567828943,0.1084132403900785,0.07556200914065384,0.12370731220884483,0.044472509441494314,0.09592843230154863,0.04068902718245465,0.05421168089421947,0.035259923677953525,0.03772891555809695,0.021366042649236718,0.022132827332716692,0.008066050313956668,0.024434398036771148,0.017971880473164756,0.02081824609896927,0.01077154506216965,0.002364787576890794,0.009940620012521667,0.004687118459796277,0.010067236374045998,0.010562858625910054,0.006522147413872124,0.004164725302718971,0.01232625519194651,0.008939876648181213,0.0026989108067500957,0.0036534270080762,0.006343105344219981,0.005821924324935591,0.017200644549379765,0.013275242451040328,0.019291285863277257,0.0008509978704146775,0.02029932957945564,0.023969936668658296,0.026862941592442714,0.050663429778946015,0.02202047541315604,0.037400971722820815,0.04424588866776851,0.11363402214584348,0.053020159262974764,0.07207840693193122,0.1593081747776201,0.05562014120087498,0.12930802376315456,0.13368622849293185
GO,1.6080369604455391e-15,1.0,0.3194693299166593,0.12771419862418532,0.054868842734003824,0.0741504934641671,0.14729203587707582,0.1042936863894973,0.0341753046687438,0.021252134146331692,0.03700884013873996,0.02247357620842952,0.011473365763941448,0.020564543473872755,0.011598311977907146,0.007608607117500587,0.0174541728027694,0.007968869289822494,0.018136168835404066,0.005281370342220537,0.0037264975818604735,0.00893470428033514,0.0030423710850471055,0.0068021966464327285,0.006140606929188986,0.003445028105908247,0.0023221157040171905,0.002985747548622596,0.007809639739987259,0.0040290006604170245,0.0032540943004387792,0.0075925787570088245,0.0045016539174488265,0.00972222691715565,0.010214633508005697,0.009124110134469529,0.0054319486245955236,0.021435066298664977,0.019013094604999396,0.00749246328659626,0.01809834311799029,0.02070787723864766,0.036154776692309154,0.023851515488347137,0.05507795842930566,0.11746042735151509,0.19290012398392517,0.09206879434617482,0.022473593870518397,0.07953205467138064,0.08714579175586774
GO,7.130126732446898e-17,0.9999999999999999,0.25601361900554853,0.06712644300800324,0.004060773584472704,0.04854669905080729,0.06814869387580202,0.11412672921138205,0.06505611553231655,0.06315607352632754,0.0429279017372216,0.022132386357580133,0.019473902398682408,0.034403048857360424,0.02811849629483531,0.010427444422893133,0.010281984829873718,0.005020057922194169,0.011531170535617918,0.0009407766116351296,0.012012077347320892,0.009630731673350589,0.019584474189899434,0.01206932363181082,0.00995395711281506,0.00432267574190686,0.0035798128250036487,0.00861382525717858,0.0063707330605292925,0.013985537312019113,0.013263261145682163,0.0055168571988775785,0.009250786859961122,0.00949560394486144,0.011179892922144798,0.010289147411065895,0.012108793016276806,0.020149768400328172,0.012849324572245281,0.02783703341039417,0.03354491066397104,0.01418994075621992,0.06564408008413596,0.06581864051071461,0.06111552041270924,0.09702172854569574,0.0863927255858352,0.0736029668115244,0.10643476768926895,0.10908049720313151,0.15794882984052533
GO,2.5243433292199015e-16,0.9999999999999999,0.2840792402870953,0.13155748513949445,0.10296255934420835,0.05388581599766617,0.04299573945233082,0.1453593759928418,0.05354958210299214,0.0564403521381111,0.03346701672325947,0.03381595513821805,0.040738613222913236,0.024115283188618608,0.030249801213154067,0.01593087644353663,0.01173566175073478,0.0078994568603621,0.008447370564486646,0.01603320596622359,0.007428324146948748,0.0029279080532149523,0.009343610038816692,0.008653924380646251,0.0019439069654532727,0.009400998685243248,0.0016176888299864935,0.001821334080098099,0.005738267543641732,0.004218486385844502,0.011458272294795657,0.005999365189004596,0.0029268329294212547,0.015232583530402598,0.009649227275594462,0.007697915033585949,0.016927327124661856,0.025351494879171578,0.02347220199170857,0.03221895345034584,0.03264542494054915,0.026094964160578684,0.050381879616338804,0.07476030937999784,0.06217895341997242,0.12209368442195725,0.011474674342659016,0.14753899714006477,0.0531038275436974,0.10329093723258455,0.08378883879716408
GO,3.5077245449331743e-16,0.9999999999999999,0.3023913979981088,0.14110684965978892,0.07436727008962005,0.041025834527870765,0.07845354777756594,0.11526780392507895,0.0786044344207787,0.08349893618853516,0.01738527709178733,0.011640939513237577,0.008515804955214715,0.02393826911343565,0.03754333336692659,0.024585268627002863,0.012333933513811133,0.013309612359085368,0.018985950324658347,0.012717884099283573,0.0029624329084761724,0.012697603808343564,0.0078679953269635,0.00864190866627294,0.004564717200250998,0.004342787290561617,0.008625330589474943,0.006967212159085574,0.012906943281585145,0.0077841214389016864,0.006864919771171318,0.008630465650485855,0.006421455953802945,0.019404224170370323,0.004288158453418731,0.005605527797687657,0.016636005539511584,0.032094138231293104,0.019591889371214193,0.020743819686278354,0.013430691667257898,0.018279219910072957,0.055275279962897335,0.10238400811317114,0.05276264495411185,0.0997070128189356,0.06825655788807101,0.14147295011570044,0.09511148672426682,0.1153388375399583,0.06983432945405044
GO,1.7331950025843933e-15,1.0,0.3412175376696455,0.17298425170503973,0.08645380393803302,0.05677643905669897,0.14645676651963221,0.06106942092724696,0.07869194230816856,0.025769664740123502,0.045778915763913894,0.027861991018507528,0.04415527553217574,0.009080839951627409,0.005865254992180065,0.005160802612803042,0.022372721039788147,0.023122416862584157,0.011305278327478454,0.010790451168304155,0.010591119979870403,0.01904460158681989,0.009971926596714677,0.00049015715772274,0.005471348778028709,0.0013556304843430661,0.0026066273211586724,0.010574521535912413,0.004485732851379189,0.006439028238239146,0.005679757921321566,0.010582080173390416,0.0026795318233544243,0.016173484754933472,0.009750904481631526,0.008440807099319622,0.011184012371472152,0.020170593437720805,0.004717995720186068,0.014334306513695234,0.039386681004060134,0.046253875704397644,0.028684309694334175,0.02229497669841793,0.08966040911387357,0.09141020873912782,0.13965127753825857,0.1268714814660402,0.07856238254460199,0.08849835464210937,0.1122505403133418
GO,7.903179669935609e-17,0.9999999999999999,0.33041866478042187,0.19608789553539102,0.13558461936885968,0.05655322873060523,0.13423732786317114,0.049945614403733844,0.07352040305123936,0.06772503887808634,0.038872054173990866,0.021930951705721777,0.041927383517002315,0.01753438469629566,0.021390393618759974,0.024580559740431843,0.015564244039368822,0.01927486890247294,0.007159699900460649,0.00329853083901734,0.005232494818076371,0.007755315759193128,0.011983582369501321,0.008859098652127183,0.002288449728588731,0.00731708812194265,0.004392835371806507,0.007725884822661856,0.01245617633557891,0.012605933522495963,0.011672858475169886,0.010545310372763,0.01508277537330871,0.012492032303810756,0.020015019589533268,0.012230066741555655,0.0035030325310142995,0.02231967129646339,0.02094273504286935,0.0203592274113735,0.029867819394001578,0.030824738628337837,0.055007365043963356,0.0458102773874637,0.03124141727456329,0.0657920492008786,0.1463227709696929,0.15550468280452148,0.07652037025092961,0.04375757099598932,0.0872782974988421
GO,1.152261420461808e-17,1.0,0.38888268563485756,0.21233415997249405,0.14020434540692686,0.16853141040628303,0.07405037946117554,0.050554378107454,0.04883426455004236,0.08414724945586645,0.0823364094461813,0.02080861650517255,0.014635279621776954,0.008998558669413058,0.013390850633204002,0.010784529860336798,0.036243879182256473,0.010658854242267975,0.004317755637473073,0.006914570016366778,0.01677828575643714,0.008647699398440203,0.017229972188631815,0.018891624726640893,0.016120750361377906,0.009200922682716115,0.004928548758193361,0.004362829877780137,0.007438691802984953,0.0016694151976464839,0.015169665495265,0.007178858963386185,0.006630432053145688,0.014693981008546063,0.023665808409745213,0.013543686958318835,0.012653741743425576,0.010586498031057717,0.015205367969426712,0.015763188002662454,0.025325444339870547,0.05960315240684009,0.01668932473344761,0.060919651222144725,0.06928754765095392,0.044958242833680336,0.1643590998581219,0.14684458019269064,0.05511138838047221,0.051478678016244506,0.1043441665537113
GO,5.242647354898504e-16,1.0,0.3692636493914763,0.16133543576903697,0.12609790520964567,0.05978559709166619,0.17227106118073526,0.014038182876625116,0.06656267598381874,0.042551815114225226,0.03511507846959628,0.04312494978148644,0.013734314750350156,0.006633429292954816,0.025076245747024606,0.0017683115180411467,0.01404718742092019,0.01859860191834996,0.0008088304227823022,0.011573031969044224,0.009574509057899595,0.004304230481538931,0.008086631117081038,0.004169284917267605,0.0034853699025373572,0.007661396160333964,0.0015270613151881275,0.009794448779361926,0.0017290086887531725,0.004988866783248221,0.003281623785371588,0.0020338809683607636,0.012245320937802971,0.009668824660898427,0.01856726056693419,0.011745090902928869,0.007690405362480308,0.015606598862576645,0.024794614508628497,0.005992394653061892,0.03268097225013976,0.008201864620955759,0.033138688772220745,0.04133487885345926,0.08221530086003265,0.059357248104403716,0.19068111635005833,0.114239930647498,0.0982481709048795,0.07463540343134137,0.14343608898549934
GO,7.970155782586721e-17,1.0,0.2761243968182692,0.1538323323345645,0.08425304272150921,0.005026929022201969,0.07103309393648861,0.09848693450987873,0.10835832780045429,0.018920882643820826,0.011187267833431254,0.022542532025399707,0.032603305885035405,0.0023087628037978722,0.044489203093720925,0.016795400923190564,0.009270432374313162,0.011769289893165816,0.017606927011301177,0.011296689948207147,0.0068897511428463514,0.01779971584956747,0.010924984656223208,0.014701337759735159,0.004673489322369081,0.013970652947050102,0.006227900045369459,0.007615066092399223,0.013087349643359702,0.007382790350521559,0.02093959648920891,0.004617429402116113,0.01727747880818222,0.009073613846463014,0.012346565843556874,0.00833296893934248,0.01764136944461993,0.014687007526811157,0.02786827230556385,0.004596585612192252,0.04488920292395119,0.03345425287680732,0.006799720411057604,0.04000168236644901,0.10762393295826066,0.05676416056717194,0.11513643162563353,0.13684267601689407,0.06214849267950309,0.11973695196700576,0.05174199097339583
RIGHT,8.173294809001958e-16,1.0,0.102007455301353,0.08130655661617447,0.03494359067119225,0.03854620267036551,0.03323917705085719,0.03646347573349295,0.009485238414671238,0.028409552551717697,0.011825342272757217,0.013517649899175485,0.029826611993366847,0.025179207420616835,0.016921173950679935,0.00556241376139321,0.014637163562314263,0.006829158000127591,0.007992169972323408,0.00823778238700129,0.004408947323170641,0.015843555844909304,0.010153111991179336,0.006802516081127292,0.0011856854886071037,0.004428231806821127,0.007141599061260047,0.007268182633311002,0.0064357162977381034,0.0037601607820310283,0.005155678115921407,0.006027667455955835,0.013113770705458879,0.015015093971998935,0.008428480203588174,0.006558218778845261,0.025705871679694188,0.011540458584352379,0.011135605314295388,0.02264580092654713,0.01144031396992613,0.02152602058418429,0.03389216772884921,0.01892409677246459,0.05028261737565595,0.03128362009488492,0.02830314119830331,0.03256794646918755,0.029398126613651418,0.06109055223620381,0.18934123250543708
RIGHT,1.494368904140521e-15,1.0,0.0900926054420687,0.1409708768699563,0.15524639156344566,0.11888750493937356,0.019638180036096024,0.030944487650860185,0.06094935936121665,0.04396929338766831,0.01674572957507131,0.01980457812296604,0.024287955707474135,0.012105585969023627,0.029730382453079504,0.03035725109833033,0.005725821533642332,0.0033572014445000125,0.017189241463289588,0.005556637494372362,0.01149765829178007,0.0021270509367881897,0.017871179430711943,0.008866991842254247,0.00929006390414857,0.009789156039645615,0.003961319096388976,0.007589065511286136,0.005144626314110048,0.015262703264390193,0.004146236525549831,0.0075851829917148545,0.006964164383865761,0.010317318167100268,0.003344279761001304,0.017498546498913695,0.008600412132448151,0.00854221809483944,0.015942471827831067,0.01564743593418771,0.014136781769609901,0.012374561961351359,0.02540625095630541,0.039528144331059195,0.02350481573964422,0.0644613661883933,0.06001439522556506,0.07008992422773168,0.15139844225943508,0.20961406578672376,0.49589135900337405
RIGHT,3.0103972275051e-15,1.0,0.2101878820029259,0.2533446983682711,0.0773683447604571,0.050726545232619026,0.016069494203833464,0.06281164739994662,0.028866124288006483,0.0048391299735383855,0.03478517898449428,0.010360976463198657,0.02502470246163973,0.03736803214255073,0.005291241573698113,0.01045008992143009,0.00557349826257225,0.008405375512455507,0.009337369481686904,0.009547739094231398,0.007448187207151525,0.011092546832467154,0.01231552759723365,0.010355216865099624,0.006814070118105005,0.0032334187075549136,0.008582664335005282,0.007499942906287981,0.006029316207033624,0.012767907867931451,0.0093295449385488,0.009895977724389413,0.013807707241259423,0.006880898719807772,0.001517768011194509,0.006612155053147847,0.01921531900060028,0.018675557899143685,0.023957144957489088,0.008124963954195976,0.010601476739817008,0.024067019910688735,0.021972909261482883,0.02503848554349486,0.024259143830024213,0.025234157658754384,0.07387203189691693,0.13469049876629977,0.13186059735195835,0.15488534449779728,0.4652406169157065
RIGHT,3.593245907819198e-16,1.0,0.16104833171311456,0.3477239017612895,0.11435210508500142,0.0951006467794131,0.02799760697872528,0.07657733789527152,0.08254083401487436,0.024045559878452395,0.027264855216945043,0.025818522561515952,0.022396400821593724,0.017951904522524736,0.019107549137916888,0.015622638689715388,0.011399479040445729,0.02048740842119037,0.01372303874966115,0.0134741665585998,0.02223673699606542,0.01886907592648328,0.00965961637149444,0.009926937155254249,0.013078981094824256,0.007197745334047269,0.006282415504314889,0.00871525311437374,0.007865921356074513,0.003172248420891307,0.007986081332855343,0.0073112527225689585,0.002618776490161994,0.013134308311846843,0.00506075278891119,0.011540401736625816,0.014254478813361534,0.010149119886617913,0.017703461380662287,0.018735223900839697,0.024188251587591653,0.025171633907077065,0.022641427094418937,0.03774386055283068,0.03696169406572736,0.034500449245483504,0.029623732260283336,0.07714527210158914,0.17704176306061242,0.1296138812253283,0.4791480580855366
RIGHT,9.798858543453873e-17,1.0,0.14955743949114916,0.37733541244997704,0.08765193892991074,0.09898718392722813,0.029475686395379355,0.07230983385589748,0.05753529973180232,0.08592288987585378,0.021500614396376357,0.023158744841754935,0.04686978893198222,0.05112382765003659,0.015001172947505578,0.02299526693451631,0.02928486673818539,0.024695508594503472,0.01730076271911495,0.023958372857538456,0.013581158903003236,0.007698036055406004,0.018534571107108783,0.017303044862633225,0.007790277596081297,0.0032163371281771764,0.00976520202232546,0.009785611280292192,0.013255219171422469,0.01262810309814573,0.011931042008288251,0.010559383021105179,0.009559293500727217,0.00960360955973091,0.013700534034227177,0.010256691495333635,0.01289920145866243,0.011305763206069984,0.01362965359299259,0.005447059026603295,0.02959930389877914,0.019175050028235836,0.02209189050913967,0.021095080263164527,0.057405746009427085,0.04965393631558868,0.06444613823931965,0.10246984546947088,0.16715281798157627,0.18593597420611604,0.4512091696895576
RIGHT,2.3246715999741537e-16,0.9999999999999999,0.2355357357190301,0.3308397343777724,0.07696155747791246,0.041434517308019767,0.028884628042155577,0.08388107172566428,0.04239818307772756,0.01836988227446311,0.05623542852803213,0.04632306086711203,0.0166760440679114,0.014890567865209897,0.033228862890046625,0.009105675281218209,0.01407051400629009,0.007203977928648643,0.018417331990336787,0.006829924705126368,0.010841977481782986,0.012383048693947926,0.008452261920611713,0.013700514809530839,0.0035808143313807777,0.0077687174547729065,0.006822035472715669,0.007171765017861888,0.00871877899799563,0.011681473853392825,0.005170217514028563,0.012787264855766707,0.007146089916654713,0.002147144676940574,0.013016402539323695,0.007621848878441331,0.002440228728647966,0.025518138546276888,0.02580512809566297,0.021609987235785357,0.009443182303575144,0.0038355530753000264,0.04331102176286234,0.03823637480397909,0.03487528742586433,0.05072330684089247,0.07783439557822844,0.1185004912828172,0.14283625571951933,0.10968184028936666,0.45229410602814707
RIGHT,3.029130300129972e-16,0.9999999999999999,0.401218857301518,0.07863605210720336,0.10363339447975588,0.10501848806045869,0.062169326521171464,0.07845099681486037,0.04039580207800399,0.034351228377602676,0.028366021227069216,0.027627016908558687,0.012987977372815908,0.012944076126767116,0.012043904903137509,0.01850548361537865,0.008299486526080532,0.010162180059056057,0.005672870775242868,0.01095808698850779,0.006041627965106317,0.002971138972351667,0.010219212630870632,0.011255016533997913,0.0031490298710835562,0.0010086079649214907,0.004604776115816389,0.0010222845823557537,0.01054821914593861,0.01042183426177135,0.013605126732095229,0.012022740552538424,0.010555875339761586,0.023527045781482216,0.010885176362138156,0.006388479024254469,0.015399115589321548,0.008842832454227342,0.0065972233841724865,0.01425309733406847,0.02231480028683603,0.014936804480476032,0.025942005644677756,0.054869134050789886,0.06720185205800983,0.06606282054540809,0.03025521124169319,0.06492950763402378,0.01352990990487697,0.23672955650641808,0.4016340998068569
RIGHT,2.0700948868809252e-15,1.0,0.299866174591079,0.17202947286774356,0.11567035758556896,0.09144434846890843,0.10176367025172207,0.09314446482207038,0.08172884849173147,0.020033320754418354,0.005302179728372706,0.053826996013376656,0.025967484790186623,0.02408066401315876,0.02384237210325483,0.013738937686537217,0.015386279632808798,0.005979089976434325,0.0036534664350335645,0.012735597159752959,0.008556601249021174,0.014580331846094838,0.008970854739701533,0.005142612768917107,0.00800313213008365,0.004478929188435249,0.0068929967547716455,0.004518032941395708,0.00697925185366477,0.008737378532760328,0.004708611813143068,0.011238431006800916,0.01286646528553122,0.010027575350819412,0.01197287061851271,0.005693713530212378,0.0071566128290029,0.009576090868972393,0.015979727402245524,0.009377785623676785,0.02875774246924761,0.006146163077323348,0.031758235395775644,0.00840040202258578,0.01935735708450375,0.008211464671597474,0.07893563762773363,0.15956822165124238,0.23150050876033362,0.14761922252205828,0.16295771007519708
